game_no,player_no,round_no,primal_type,kicker_type,kicker_len,combo_str,primal_str,current_str,up_str,down_str
2,1,14,0,0,0,,,56QK,J,379TJ
2,2,14,0,0,0,,,379TJ,56QK,J
2,3,14,1,0,0,J,J,J,379T,56QK
2,1,15,0,0,0,,,56QK,J,379T
2,2,15,1,0,0,Q,Q,379T,56K,J
2,3,15,0,0,0,,,J,379T,56K
2,1,16,0,0,0,,,56K,J,379T
2,2,16,1,0,0,K,K,379T,56,J
2,3,16,0,0,0,,,J,379T,56
2,1,17,0,0,0,,,56,J,379T
3,1,1,2,0,0,3456789T,3456789T,33455578TTQQQKA2B,344668QKA22S,6778999TJJJJKKAA2
3,2,1,0,0,0,,,6778999TJJJJKKAA2,33455578TTQQQKA2B,344668QKA22S
3,3,1,7,0,0,J,J,344668QKA22S,6778999TJJJKKAA2,33455578TTQQQKA2B
3,1,2,0,0,0,,,33455578TTQQQKA2B,344668QKA22S,6778999TJJJKKAA2
3,2,2,0,0,0,,,6778999TJJJKKAA2,33455578TTQQQKA2B,344668QKA22S
3,3,2,3,0,0,77,77,344668QKA22S,68999TJJJKKAA2,33455578TTQQQKA2B
3,1,3,3,0,0,22,22,33455578TTQQQKA2B,344668QKAS,68999TJJJKKAA2
3,2,3,0,0,0,,,68999TJJJKKAA2,33455578TTQQQKA2B,344668QKAS
3,3,3,0,0,0,,,344668QKAS,68999TJJJKKAA2,33455578TTQQQKA2B
3,1,4,3,0,0,44,44,33455578TTQQQKA2B,3668QKAS,68999TJJJKKAA2
3,2,4,3,0,0,55,55,68999TJJJKKAA2,334578TTQQQKA2B,3668QKAS
3,3,4,3,0,0,99,99,3668QKAS,689TJJJKKAA2,334578TTQQQKA2B
3,1,5,0,0,0,,,334578TTQQQKA2B,3668QKAS,689TJJJKKAA2
3,2,5,3,0,0,TT,TT,689TJJJKKAA2,334578QQQKA2B,3668QKAS
3,3,5,3,0,0,JJ,JJ,3668QKAS,689TJKKAA2,334578QQQKA2B
3,1,6,0,0,0,,,334578QQQKA2B,3668QKAS,689TJKKAA2
3,2,6,3,0,0,QQ,QQ,689TJKKAA2,334578QKA2B,3668QKAS
3,3,6,3,0,0,KK,KK,3668QKAS,689TJAA2,334578QKA2B
3,1,7,0,0,0,,,334578QKA2B,3668QKAS,689TJAA2
3,2,7,0,0,0,,,689TJAA2,334578QKA2B,3668QKAS
3,3,7,1,0,0,A,A,3668QKAS,689TJA2,334578QKA2B
3,1,8,1,0,0,S,S,334578QKA2B,3668QKA,689TJA2
3,2,8,1,0,0,B,B,689TJA2,334578QKA2,3668QKA
3,3,8,0,0,0,,,3668QKA,689TJA2,334578QKA2
3,1,9,0,0,0,,,334578QKA2,3668QKA,689TJA2
3,2,9,1,0,0,3,3,689TJA2,34578QKA2,3668QKA
3,3,9,1,0,0,8,8,3668QKA,69TJA2,34578QKA2
3,1,10,1,0,0,Q,Q,34578QKA2,3668KA,69TJA2
3,2,10,1,0,0,2,2,69TJA2,34578QKA,3668KA
3,3,10,0,0,0,,,3668KA,69TJA2,34578QKA
3,1,11,0,0,0,,,34578QKA,3668KA,69TJA2
3,2,11,1,0,0,3,3,69TJA2,4578QKA,3668KA
